spesa,gasto
aiuto,ayudar
ambiente,medio ambiente
animo,ánimo
bestia,bestia
cortile,patio
pelle,cuero
proposta,propuesta
riva,orilla
segretario,secretario
abito,vestido
chiave,clave
corrente,actual
operaio,trabajador
corso,curso
finestra,ventana
piano,plan
bocca,boca
anima,alma
passo,paso
giornata,día
rapporto,relación
stanza,habitación
valore,valor
colpo,tiro
sangue,sangre
spalla,hombro
signorina,joven
ombra,sombra
azione,acción
vento,viento
mattina,mañana
consiglio,consejo
viaggio,viaje
genere,especie
spirito,espíritu
muro,pared
giro,gira
atto,acto
aspetto,apariencia
età,edad
fortuna,suerte
partito,partido
carta,papel
tratto,tramo
settimana,semana
fratello,hermano
realtà,realidad
personaggio,carácter
pomeriggio,tarde
fianco,lado
bambina,niño
domanda,demanda
pianta,planta
pubblico,público
sede,asiento
affare,acuerdo
bene,bien
metà,mitad
fiume,río
lotta,lucha
mercato,mercado
angolo,esquina
compagnia,empresa
labbro,labio
villa,villa
desiderio,deseo
serie,serie
coraggio,coraje
esercito,ejército
padrone,maestro
risposta,respuesta
tavola,mesa
immagine,imagen
fede,fe
pane,pan
seguito,siguiente
estate,verano
onore,honor
pericolo,peligro
scrittore,escritor
collina,colina
zio,tío
difesa,defensa
metro,metro
cura,cuidado
Domenica,domingo
giovanotto,joven
stagione,temporada
croce,cruzar
fiducia,confianza
filo,alambre
folla,multitud
roba,cosas
conoscenza,conocimiento
favore,favorecer
strumento,herramienta
vestito,vestido
giugno,junio
giustizia,justicia
avvocato,abogado
messa,masa
orecchio,oreja
sonno,sueño
congresso,congreso
porto,puerto
calcio,fútbol
ospedale,hospital
pianura,llanura
tavolo,mesa
fame,hambre
latte,leche
merito,mérito
attore,actor
atteggiamento,actitud
concetto,concepto
mestiere,profesión
attesa,espera
bagno,cuarto de baño
foglia,hoja
istante,instantáneo
questo,este
quello,uno
più,más
tutto,todos
suo,su
altro,más
mio,mi
quale,que
tanto,mucho
grande,gran
poco,poco
molto,muy
nostro,nuestro
stesso,mismo
primo,primero
loro,su
ogni,cada
proprio,propio
solo,solamente
quanto,cómo
bello,hermoso
qualche,algunos
nuovo,nuevo
certo,algunos
vero,real
buono,bueno
tuo,su
nessuno,nadie
alcuno,cualquier
italiano,italiano
ultimo,pasado
vecchio,viejo
piccolo,pequeño
troppo,demasiado
tale,tal
giovane,joven
alto,alto
vostro,su
diverso,diferente
meglio,mejor
lungo,a lo largo de
povero,pobre
maggiore,mayor
mezzo,medio
secondo,segundo
lontano,lejos
vicino,cerca
possibile,posible
caro,querido
pieno,completo
nero,negro
particolare,particular
bianco,blanco
forte,fuerte
politico,político
attuale,actual
latino,latín
impossibile,imposible
sereno,sereno
puro,puro
normale,normal
perfetto,perfecto
piano,plan
caratteristico,característico
russo,ruso
continuo,continuo
stupido,estúpido
estremo,extremo
grigio,gris
reale,real
interessante,interesante
medesimo,mismo
religioso,religioso
ampio,grande
biondo,rubio
ufficiale,oficial
attento,cuidadoso
enorme,enorme
sottile,delgado
triste,triste
minimo,mínimo
privato,privado
rapido,rápido
quarto,cuarto
diretto,directo
nobile,noble
parecchio,algunos
pericoloso,peligroso
giallo,amarillo
pazzo,loco
sacro,sagrado
comodo,cómodo
elettrico,eléctrico
assoluto,absoluto
cristiano,cristiano
antico,viejo
rosso,rojo
chiaro,claro
unico,solamente
sicuro,asegurar
importante,importante
vario,variado
giusto,derecho
francese,francés
vivo,vivir
generale,general
ricco,rico
grosso,grande
necessario,necesario
libero,gratis
nazionale,nacional
basso,bajo
semplice,sencillo
grave,grave
pubblico,público
comune,común
freddo,frío
economico,barato
felice,feliz
difficile,difícil
tedesco,alemán
breve,corto
pronto,listo
serio,grave
presente,presente
migliore,mejor
facile,fácil
terzo,tercera
caldo,caliente
estero,extranjero
largo,largo
pricipale,pricipale
verde,verde
romano,romano
umano,humano
inutile,inútil
moderno,moderno
numeroso,numeroso
simile,como
fresco,fresco
militare,militar
americano,americano
vuoto,vacío
ciascuno,cada
tranquillo,tranquilo
